センター, center
胸リボン, chest ribbon
左リボン, ribbon_L
右リボン, ribbon_R
腰飾り, waist accessory
左髪, hair_L
右髪, hair_R
前髪, front hair
左セーラ, blouse_L
右セーラ, blouse_R
左袖, sleeve_L
右袖, sleeve_R
ﾈｸﾀｲ１, necktie1
ﾈｸﾀｲ２, necktie2
ﾈｸﾀｲ３, necktie3
左セーラー, blouse_L
右セーラー, blouse_R
ﾈｸﾀｲ先, necktie4
ﾈｸﾀｲＩＫ, necktie IK
左ｽｶｰﾄ前, front skirt_L
左ｽｶｰﾄ後, back skirt_L
右ｽｶｰﾄ前, front skirt_R
右ｽｶｰﾄ後, back skirt_R
ウィンクＬ, wink_L
え, e
べー, tongue
アホ毛１, aho hear1
アホ毛２, aho hair2
ポニテ１, back hair1
ポニテ２, back hair2
ポニテ３, back hair3
ポニテ４, back hair4
ポニテ５, back hair5
左胸, bust_L
右胸, bust_R
ポニテ６, back hair6
ポニテＩＫ, hair IK
左髪１, hair1_L
左髪２, hair2_L
左髪３, hair3_L
左髪４, hair4_L
左髪５, hair5_L
左髪６, hair6_L
左腕捩, arm twist_L
左手捩, wrist twist_L
右髪１, hair1_R
右髪２, hair2_R
右髪３, hair3_R
右髪４, hair4_R
右髪５, hair5_R
右髪６, hair6_R
右腕捩, arm twist_R
右手捩, wrist twist_R
左目光, eyelight_L
右目光, eyelight_R
ﾈｸﾀｲ４, necktie4
左髪７, hair7_L
右髪７, hair7_R
左髪ＩＫ, hair IK_L
右髪ＩＫ, hair IK_R
じと目, doubt
なぬ！, confuse
∧, regret
ω, omega
ω□, omegabox
はんっ！, fool
ぺろっ, tongue
えー, e-
ハネ毛, hane hair
携帯, phone
への字, regret
腿饰, _腿饰
パンツ, _pants
目枠, _bai
歯, _齿
歯, _齒
歯下, _齿下
歯下, _下齿
歯上, _齿上
歯上, _上齿
顔, _颜
顔1, _颜1
顔2, _颜2
顔, _脸
二重瞼, _二重
白目, _白目
目, _目
瞳, _眼睛
白眼, _眼白
まつ毛, _睫
眉, _眉
星目, _星目
星目, _目星
口舌, _舌
髪, _髮
髪＋, _髮+
後髪, _髮辮
跳毛1, _辫子1
リボン, _领结
ケープ, _披肩
ケープ帯, _披肩带
ケープ飾, _披肩勋章
服, _背结
背リボン, _背结
神の目, _神之眼
神の眼AL, _神之眼AL
神の眼AL, _神之眼_Al
神の眼1, _神之眼1
神の目2 , _神之眼2
神の目3 , _神之眼3
神の目枠, _神之眼框
神の眼_AL, _神之眼_AL
燕尾, _后摆
肌, _肌
肌2, _肌2
レース, _花边
レース２, _花边2
帽子, _帽
帽子鎖, _帽带
帽帯, _帽带
髪飾り, _头饰
髪飾り1, _头饰1
髪飾り2, _头饰2
髪飾り3, _头饰3
髪飾り4, _头饰4
腰飾り, 饰1
体带, _体带
肌, _肌
肌2, _肌2
ケープ, _披风
ケープ, _披风饰
ケープ2, _披风饰2
ケープ1, 披风1
ケープ2, 披风2
ケープ3, 披风3
ケープ4_1, 披风4_1
ケープ4_2, 披风4_2
帯, _带
帯内側 ,带内
スカート, _裙
スカート1, _裙1
スカート2, _裙2
下半身带, _下半身带
腿带, _腿带
左腰布, _左腰布
腰带, _腰带
腰飾り, _腰饰
髮, _髮
髮＋, _髮+
体, _体
肌, _皮肤
左肩掛1-1, _左披肩1-1
左肩掛1-2, _左披肩1-2
左肩掛1-3, _左披肩1-3
左肩掛1-4, _左披肩1-4
左襟_1, _左领_1
左襟_2, _左领_2
左襟_3, _左领_3
背飾り, _背饰
背飾り先, _背饰先
右襟1_1, 右领1_1
右襟1_2, 右领1_2
右襟1_3, 右领1_3
後襟1, _后领1
後襟2, _后领2
後襟1先, _后领1先
後襟2先, _后领2先
ポーチ, _腿饰
ヘルメット, _头盔
ヘルメット表情1, _头盔表情1
ヘルメット表情2, _头盔表情2
ヘルメット表情3, _头盔表情3
ヘルメット表情4, _头盔表情4
左襟, _左领
右襟, _右领
耳, _耳
長耳, _耳朵
ヘアゴム, _头绳
肩章, _肩勋章
肩章带, _肩勋章带
肩掛, _披肩
尾, _尾
肌, _肌
肌2, _肌2
顔, _新脸
足, _腿
リボン, _蝴蝶结
リボン2, _蝴蝶结2
リボン, _饰
袖花, _花边
髪, _发
髪飾り, _发饰
ショール, _围巾
